ave,std
0.444009451,0.002317616
0.51350827,0.002027914
0.583007088,0.001738212
0.652505907,0.00144851
0.722004726,0.001158808
0.791503544,0.000869106
0.861002363,0.000579404
0.930501181,0.000289702
1,3.72E-17
-20.17562048,3.22636286
-14.16903857,2.145050494
-10.24224535,1.463304698
-7.516197259,1.010778966
-5.536071057,0.699630626
-4.044538088,0.480199043
-2.885957723,0.322406386
-1.960936659,0.206974249
-1.20264172,0.120857415
-0.56299639,0.054592671
-5.86E-17,3.17E-16
0.632970681,0.181392999
-5.931281973,5.008206587
549.743917,140.122578
790.3724454,184.1291602
14.84328579,0.365049122
0.632970681,0.181392999
532.1871965,125.634785
735.564598,144.7588677
14.78467662,0.42653661
-7.058873872,6.333282032
0.305026072,0.002887408
0.374523464,0.002598667
0.444020857,0.002309926
0.51351825,0.002021186
0.583015643,0.001732445
0.652513036,0.001443704
0.722010429,0.001154963
0.791507821,0.000866222
0.861005214,0.000577482
0.930502607,0.000288741
1,3.79E-17
-20.14127374,3.2275081
-14.1463339,2.146070632
-10.22680513,1.464141804
-7.505545192,1.011442315
-5.528696453,0.700144534
-4.0394695,0.480588172
-2.882546911,0.322691849
-1.958740632,0.207172963
-1.20135522,0.120982314
-0.56241336,0.054652907
-6.43E-17,3.32E-16
0.633403757,0.181080323
-5.905264059,4.993854804
548.211945,140.9996326
788.3492302,186.0142691
14.84101804,0.363163482
0.633403757,0.181080323
529.6438372,122.9851593
732.8480724,142.8200561
14.78374603,0.426184797
-7.020439855,6.335094374
0.305040591,0.002886381
0.374536532,0.002597743
0.444032473,0.002309105
0.513528414,0.002020467
0.583024355,0.001731829
0.652520296,0.001443191
0.722016236,0.001154553
0.791512177,0.000865914
0.861008118,0.000577276
0.930504059,0.000288638
1,3.56E-17
-20.17289729,3.297657518
-14.16741554,2.192553415
-10.24115875,1.495624271
-7.515404612,1.032960732
-5.535461194,0.714836154
-4.044058877,0.490504923
-2.885585043,0.329222013
-1.960659932,0.211275639
-1.202456877,0.123323938
-0.562902596,0.055686944
-5.49E-17,3.07E-16
0.633489787,0.180689748
-5.900022869,4.972046318
550.9981827,141.3043697
792.3715202,185.9416724
14.84424381,0.365660914
0.633489787,0.180689748
532.7377265,125.7760157
736.6123328,145.4402969
14.78601081,0.427040754
-7.029157699,6.314513689
